ID,Name,Family,Intent,Keywords,Primary Content Fit,Responsive Notes,Accessibility Notes,Implementation Notes,Anti-Patterns,Sources,Status,Verified At
lists,Lists,Collection,"Optimize scanning, sorting, and repeated actions","list activity inbox notifications search results files","Inbox|Activity|Notifications|Files|Search Results","Naturally stack and support compact or comfortable density","Use `ul` and `li` where appropriate and label row actions","Use row templates with predictable metadata alignment","Cards for uniform rows|unlabeled row chevrons|tiny target","https://uxpatterns.dev/pattern-guide/table-vs-list-vs-cards|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
tables,Tables,Data Display,"Compare exact values and relationships","table data grid comparison pricing transactions records","Finance|Admin|Data Portal|Comparison","Allow horizontal overflow only for data that truly needs it; offer responsive row alternative","Use captions, headers, scopes, and a non-color distinction for status","Use native table markup and contain wide content","Table used for layout|unlabeled columns|color-only cells","https://www.w3.org/WAI/tutorials/tables/|https://developer.mozilla.org/en-US/docs/Web/HTML/Element/table","active",2026-08-27
timeline,Timeline,Chronology,"Explain change or sequence through time","timeline history roadmap activity order milestones","History|Roadmap|Audit|Order|Learning","Collapse alternating or horizontal layouts to one vertical rail","Use ordered list semantics and time elements; preserve sequence","Use a list with a decorative marker layer","Alternating visual order differs from DOM|marker-only dates","https://www.w3.org/WAI/tutorials/page-structure/|https://developer.mozilla.org/en-US/docs/Web/HTML/Element/time","active",2026-08-27
dashboard-grid,Dashboard Grid,Operational,"Support glanceable metrics and drill-down actions","dashboard grid kpi charts admin analytics overview","Dashboards|Admin|Monitoring","Use nested grids with `minmax(0, 1fr)` and priority stack on mobile","Use landmarks, text chart alternatives, and one scroll owner","Use CSS Grid areas and reserve chart space","Chart wall|nested scroll traps|3D decoration for routine data","https://www.nngroup.com/articles/dashboards-preattentive/|https://www.w3.org/WAI/tutorials/tables/","active",2026-08-27
split-screen,Split Screen,Paired Content,"Give copy and media equal opening weight","split screen split hero copy image code product","Landing|Portfolio|Product Intro","Stack copy before media on mobile and preserve source order","Keep the main heading and action first in DOM and visual reading order","Use grid columns and `min-height: 100dvh` only when appropriate","50/50 split that hides copy|visual reorder breaking focus","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/WCAG22/Understanding/focus-order.html","active",2026-08-27
full-bleed-hero,Full Bleed Hero,Immersive,"Make an image, video, or atmosphere establish a page","full bleed hero edge to edge campaign video background","Campaign|Launch|Editorial|Brand","Use responsive image, `dvh`, scrim, and shorter mobile crop","Decorative media gets empty alt; text gets contrast and labels","Use CSS grid layering and poster-first media","Text over raw image|autoplay blocking content|hero as only explanation","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/media/av/","active",2026-08-27
editorial-spread,Editorial Spread,Editorial,"Translate print rhythm into a web reading sequence","editorial spread magazine pull quote folio drop cap photo essay","Long Form|Magazine|Archive|Portfolio","Remove overlap and use one column or ordered two column layout on mobile","Preserve article semantics, captions, quote semantics, and contrast","Use CSS Grid with explicit overlap only for nonessential decoration","Print styling applied to thin content|line length too wide|caption detached","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content/|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
holy-grail,Holy Grail,Application Shell,"Keep stable header, navigation, main, aside, and footer regions","holy grail layout header nav main aside footer documentation shell","Docs|Portal|App Shell","Collapse side regions into disclosure or drawer without changing source order","Use landmarks, skip link, focus return, and one scroll owner","Use CSS Grid template areas and `minmax(0, 1fr)`","Nested scrollbars|focus trapped drawer|fixed widths","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/","active",2026-08-27
sticky-rail,Sticky Rail,Persistent Context,"Keep filters, table of contents, or next action in view","sticky rail sticky sidebar toc filters reading progress","Docs|E-commerce|Long Form|Filters","Disable or move rail below content when viewport is narrow; account for sticky header","Use labelled navigation, anchor scroll margin, and focus visibility","Use `position: sticky` with a bounded internal scroll only when necessary","Sticky rail covering headings|ancestor overflow breaking stickiness|secondary rail required for task","https://developer.mozilla.org/en-US/docs/Web/CSS/position|https://www.w3.org/WAI/WCAG22/Understanding/focus-not-obscured-minimum.html","active",2026-08-27
parallax-layers,Parallax Layers,Depth Enhancement,"Create a sense of place from layers that move at different rates","parallax layers depth scroll background foreground","Campaign|Editorial|Portfolio|Scene Intro","Disable on mobile or reduced motion and preserve a static composition","Provide a stable non-parallax path and do not tie required content to scroll precision","Use transform layers and normal document scrolling","Scroll hijack|parallax on every section|motion as discovery gate","https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html|https://developer.mozilla.org/en-US/docs/Web/CSS/scroll-behavior","active",2026-08-27
scrollytelling,Scrollytelling Chapter,Narrative,"Change a figure or scene as text chapters advance","scrollytelling sticky figure chapters data journalism explainer","Data Journalism|Explainer|Product Story","Stack each figure and text beat on mobile instead of pinning one global scene","Provide a sequential unpinned alternative and preserve text and keyboard order","Use IntersectionObserver or scroll timelines with a static fallback","Camera ride with no chapter meaning|scroll-only essential content|unpausable motion","https://pudding.cool/process/scrollytelling-sticky/|https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html","active",2026-08-27
carousel,Carousel,Sequential Collection,"Show a small related set in one prime space","carousel slider slideshow product gallery featured content","Product Gallery|Related Items|Featured Stories","Use visible controls, touch swipe as optional, and avoid forcing all content into one frame","Provide pause, keyboard navigation, live update state, focus control, and no hidden focused slide","Use a labelled region with buttons and explicit current item","Autoplay without pause|essential content only after several taps|focus moves unexpectedly","https://www.w3.org/WAI/tutorials/carousels/|https://webaim.org/techniques/carousels/","active",2026-08-27
mega-menu,Mega Menu,Navigation,"Expose broad information architecture through grouped links","mega menu navigation categories ecommerce government enterprise","Large Sites|Commerce|Portal|Docs","Use disclosure or drawer on mobile and keep link groups readable","Use button disclosure semantics, Escape close, focus return, and plain links","Use CSS Grid and focus-within without hover dependency","Role menu for ordinary site navigation|hover-only open|deep ungrouped links","https://www.w3.org/WAI/ARIA/apg/patterns/disclosure/|https://www.w3.org/WAI/tutorials/menus/","active",2026-08-27
tabs,Tabs,View Switcher,"Switch between related views without leaving context","tabs tablist panel settings product detail dashboard","Settings|Product Detail|Dashboard|Docs","Stack tabs or make them horizontally scrollable with visible selected state on mobile","Use correct tab semantics or native links when URLs matter; keep keyboard model clear","Use APG tab pattern only when panels are true view alternatives","Tabs for unrelated destinations|hidden active state|deep content with no URL","https://www.w3.org/WAI/ARIA/apg/patterns/tabs/|https://www.w3.org/WAI/tutorials/menus/","active",2026-08-27
step-indicator,Step Indicator,Workflow,"Show position and progress through a bounded task","step indicator wizard checkout form eligibility onboarding","Forms|Checkout|Onboarding|Booking","Use short labels or current step only on mobile; do not make progress the only navigation","Expose current step text, allow predictable back, and move focus to new heading","Use ordered steps with progress text and direct links only where safe","Decorative dots without labels|step completion by color only|back path lost","https://www.w3.org/WAI/tutorials/forms/multi-page/|https://www.w3.org/WAI/WCAG22/Understanding/focus-order.html","active",2026-08-27
command-palette,Command Palette,Command Surface,"Give keyboard-heavy apps a fast action and search surface","command palette command menu quick actions keyboard shortcut search","Productivity|Developer Tools|Admin","Use a full-screen or bottom sheet mobile alternative with visible trigger","Use dialog or listbox semantics correctly, announce results, and expose clickable actions","Keep command registry separate from visual menu and provide normal buttons","Shortcut-only actions|unlabelled search|focus lost on close","https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/|https://www.w3.org/WAI/ARIA/apg/patterns/listbox/","active",2026-08-27
infinite-feed,Infinite Feed,Continuous Content,"Support repeated browsing of a changing stream","infinite feed social news recommendations scroll loading","Social|News|Media|Discovery","Use pagination or load more and preserve URL or position where appropriate","Announce loaded content, provide stop or load control, and do not steal focus","Use cursor pagination and explicit loading state","Unbounded scroll|new items inserted above reading position|auto-play media","https://www.w3.org/WAI/WCAG22/Understanding/interruptions.html|https://www.w3.org/WAI/standards-guidelines/aria/","active",2026-08-27
map-list-split,Map List Split,Geospatial,"Pair spatial context with a searchable list","map list split directory real estate travel location","Directory|Real Estate|Travel|Delivery","List is the mobile primary path; map becomes optional or follows the selected result","Provide list, address, and route alternatives; map markers need names and status","Keep selection state in DOM and synchronize map as enhancement","Map-only results|marker color-only status|map traps scroll","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
kanban,Kanban Board,Spatial Workflow,"Move work items through stages and inspect status","kanban board columns drag drop project management workflow","Productivity|Project Management|CRM","Turn columns into horizontal or per-column lists on mobile with explicit move actions","Dragging needs single-pointer, keyboard, and menu alternatives; status cannot be color only","Use buttons or menus for move and drag as enhancement","Drag-only card movement|horizontal scroll required|hidden column state","https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html|https://www.w3.org/WAI/ARIA/apg/","active",2026-08-27
calendar,Calendar And Agenda,Temporal Workflow,"Schedule, inspect, and change time-based items","calendar agenda scheduling availability timezone event","Booking|Calendar|Project Planning|Events","Offer agenda or list view and show timezone; avoid dense month grid as only view","Use labelled date controls, keyboard navigation, text event list, and no drag-only reschedule","Use native date inputs when appropriate and separate data from grid presentation","drag-only reschedule|ambiguous timezone|month grid unreadable on mobile","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html","active",2026-08-27
canvas,Infinite Canvas,Spatial Workspace,"Manipulate an open spatial work area","infinite canvas whiteboard design layers zoom pan spatial objects","Collaborative Design|Diagram|Mapping|Creative Tools","Provide focused object or list mode on mobile and keep zoom controls visible","Every object needs name, selection state, keyboard or menu path, and text summary","Use canvas renderer with semantic overlay and model ownership","canvas-only document|gesture-only zoom|no reset or fit action","https://www.w3.org/WAI/standards-guidelines/aria/|https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html","active",2026-08-27
spatial-stage,Spatial Stage,Immersive,"Place a subject in a depth-aware stage around content","spatial stage 3d scene camera depth immersive webxr model","3D Viewer|WebXR|Product Story|Game","Use inline 2D or static stage first and treat immersive mode as optional","Provide DOM content, keyboard controls, static poster, reduced motion, and no-WebGL path","Use feature detection, bounded camera, quality tiers, and resource ownership","3D as only navigation|headset required|unbounded camera|blank fallback","https://developer.mozilla.org/en-US/docs/Web/API/WebXR_Device_API|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
three-d-viewer,3D Product Viewer,Spatial Commerce,"Let a person inspect a physical object from useful views","3d viewer product rotate inspect model glb material camera configurator","Product Detail|Commerce|Museum|Asset Marketplace","Keep title, price, action, and preset controls outside the canvas; shorten scene on mobile","Provide static gallery, buttons for views and zoom, keyboard path, text details, and reduced motion","Use Three.js or React Three Fiber with GLB, poster, quality tiers, and disposal","auto-rotate only|drag-only inspection|canvas-only product facts|full DPR everywhere","https://threejs.org/manual/en/responsive.html|https://threejs.org/manual/en/cleanup.html","active",2026-08-27
comparison-table,Comparison Table,Decision Support,"Compare plans, products, or exact feature values","comparison table pricing plans products feature matrix","Pricing|Commerce|Procurement|Plans","On mobile use stacked plan sections or row labels and do not force a huge table","Use table headers, scope, labels, and a non-table alternative when reflow fails","Use native table for relationships and CSS only for cosmetic layout","unlabeled checkmarks|color-only differences|wide table blocking purchase","https://www.w3.org/WAI/tutorials/tables/|https://designsystem.digital.gov/components/table/","active",2026-08-27
tree-navigation,Tree Navigation,Hierarchical,"Expose nested content with predictable expansion","tree navigation taxonomy docs category file browser hierarchy","Docs|Portal|File Browser|Archive","Collapse depth and provide breadcrumbs or search on mobile","Use disclosure or tree semantics only when the keyboard model is implemented; otherwise use links","Prefer disclosure lists for site navigation and reserve tree role for actual tree interaction","deep collapsed maze|hover expansion|focus disappears on branch open","https://www.w3.org/WAI/ARIA/apg/patterns/treeview/|https://www.w3.org/WAI/tutorials/menus/","active",2026-08-27
