ID,Name,Family,Era,Intent,Keywords,Typography,Color And Surface,Motion And Depth,Best Fit,Accessibility Notes,Anti-Patterns,Sources,Status,Verified At
pop-art,Pop Art,Mass Culture,1950s-1960s,"Use mass media and repetition as the subject","pop art comic halftone advertising consumer repetition warhol lichtenstein","Commercial sans; comic caption; bold display","Primary red blue yellow black white; halftone","Frame repetition and hard cuts; keep interactive state obvious","Culture; entertainment; youth marketing","Do not put important text into halftone or speech bubble art alone","Comic treatment without cultural intent|copyrighted characters as decoration","https://whitney.org/artists/779|https://americanart.si.edu/artist/roy-lichtenstein-2931","active",2026-08-27
memphis,Memphis,Postmodern,1981-1988,"Use playful anti-functional geometry and pattern","memphis geometric squiggle terrazzo laminate playful asymmetric postmodern","Eclectic display with stable body sans; type as image in hero only","Electric blue pink acid yellow mint red; terrazzo and Bacterio pattern","Bouncy short transitions for playful contexts; calm forms for tasks","Youth; fashion; music; education onboarding","Maintain clear focus, contrast, and control affordances over patterns","Full Memphis applied to dense workflow|random clutter|childlike form for serious service","https://www.wallpaper.com/design-interiors/memphis-design-group-definitive-guide|https://www.metmuseum.org/toah/hd/post/hd_post.htm","active",2026-08-27
skeuomorphism,Skeuomorphism,Tactile,2000s-2013,"Use physical metaphor to reduce learning cost for novel controls","skeuomorphism leather wood felt stitched bevel texture literal object","Humanist sans or serif with restrained engraved labels","Material-specific colors, gradients, highlights, texture","Physical response can clarify state; avoid ornamental looping","Hardware onboarding; games; tactile product viewers","Preserve semantic labels and never let texture replace contrast or focus","Literal wood bookshelf for unrelated content|heavy texture everywhere|metaphor without function","https://www.nngroup.com/articles/skeuomorphism/|https://www.theguardian.com/technology/shortcuts/2013/jun/12/skeuomorphism-apple-ditched-ios7","active",2026-08-27
flat,Flat Design,Modern Product,2011-present,"Prioritize content and performance over simulated depth","flat design metro ios7 simple symbolic icons color blocks no shadows","Clean sans; hierarchy through type and spacing","Bright flat colors on white or dark; no texture","Direct state changes with short transitions","Product UI; forms; dashboards; public services","Restore affordance with borders, labels, focus, and non-color state","Flatness that removes clickable signifiers|tiny low-contrast text","https://www.nngroup.com/articles/flat-design/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
flat-2,Flat 2.0 And Semi Flat,Modern Product,2013-present,"Restore depth cues while keeping a simple interface","flat 2.0 semi flat long shadow subtle gradient functional depth","Clean sans; clear weight and size","Flat color with restrained gradient and soft shadow","Small elevation transitions that preserve spatial continuity","Most production interfaces; SaaS; commerce","Check focus and text contrast where shadows are used as cues","Long shadows as decoration|gradient on every surface|depth without hierarchy","https://www.nngroup.com/articles/flat-design/|https://designmodo.com/long-shadows-design/","active",2026-08-27
material,Material Design,Design System,2014-present,"Provide a reusable system where paper, motion, and components carry meaning","material design paper elevation motion carries meaning components google","Roboto or Google Sans; systematic type scale with expressive options","Themeable semantic color and elevation; paper layers","Motion carries meaning; transitions preserve object identity","Product systems; Android; multi-platform applications","Use native semantic controls and test custom components with keyboard and screen readers","Stock Material skin without brand intent|elevation for every element|unnecessary motion","https://design.google/library/material-design-eras|https://m3.material.io/","active",2026-08-27
fluent,Fluent Design,Design System,2017-present,"Connect light, depth, motion, material, and scale across Microsoft surfaces","fluent design acrylic mica reveal depth light motion microsoft","Segoe UI and system sans; clear functional hierarchy","Acrylic, mica, neutral surfaces, semantic accent","Connected motion and reveal; respect reduced motion","Enterprise; desktop; productivity; Windows ecosystem","Keep acrylic behind opaque text surfaces when contrast is uncertain and preserve focus","Acrylic blur everywhere|translucency hiding status|Windows-specific pattern on unrelated product","https://fluent2.microsoft.design/|https://learn.microsoft.com/en-us/fluent-ui/","active",2026-08-27
neumorphism,Neumorphism,Soft Tactile,2019-2021,"Suggest soft physical controls through a single extruded surface","neumorphism soft ui dual shadow low contrast raised pressed","Minimal sans; medium weight","Low-contrast monochrome pastel surface and dual shadow","Pressed and raised feedback can be useful for a small control set","Concepts; wellness; ambient controls","Do not use low contrast for text, controls, focus, or required states","All controls same color as background|shadow-only affordance|dark mode muddy surfaces","https://www.awwwards.com/inspiration/neumorphism-in-user-interfaces|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
glassmorphism,Glassmorphism,Translucent,2020-present,"Layer translucent surfaces to express depth in a controlled scene","glassmorphism frosted glass blur transparency border translucent","Clean sans with strong contrast","Translucent white or black, backdrop blur, one vivid background","Layered entrance and depth only when the underlying scene remains stable","Navigation; modal; media; atmospheric marketing","Use opaque fallback surfaces, measure contrast over changing backgrounds, and preserve focus","Every card is glass|text over raw color|blur used instead of hierarchy","https://developer.mozilla.org/en-US/docs/Web/CSS/backdrop-filter|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
claymorphism,Claymorphism,Tactile,2021-2023,"Make an interface friendly through inflated soft forms","claymorphism bubbly rounded inflatable plastic toy pastel","Rounded sans; bold short headings","Candy pastels, soft plastic, thick shadow","Soft press feedback for playful controls; no constant bobbing","Gamified education; onboarding; youth products","Keep text contrast and focus independent from inner shadow","Toy treatment for serious dashboards|muddy inner shadows|pill-shaped everything","https://pixso.net/articles/glassmorphism-vs-neumorphism-vs-claymorphism|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
bento-grid,Bento Grid,Modular Contemporary,2022-present,"Communicate several related values through varied modular weight","bento grid modular cards apple feature matrix asymmetric tiles","Clean sans; tile size carries hierarchy","Calm surface with differentiated images or tokens; avoid identical gradients","Tiles can reveal details on focus or selection; no uniform reveal for all","Feature sections; product pages; marketing; dashboards","Keep DOM order in reading sequence, reserve media space, and stack to one column","Identical rounded gradient tiles|bento used for every page|visual order differs from keyboard order","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
neubrutalism,Neubrutalism,Anti Decorative,2022-present,"Make product UI memorable through hard edges and direct hierarchy","neubrutalism web brutalism thick border offset shadow flat bright","Bold sans or mono display with readable body sans","Black white plus categorical neon accents; no blur","Hard offset feedback; direct transitions; stable layout","Youth brands; creative studios; campaigns","Check contrast, target size, focus, and error states independently from hard shadows","Yellow on cyan|black border everywhere without hierarchy|roughness blocking tasks","https://www.nngroup.com/articles/neobrutalism/|https://neubrutalism.com/","active",2026-08-27
y2k,Y2K Futurism,Nostalgia,1997-2004,"Express optimistic consumer technology nostalgia","y2k chrome bubble translucent plastic holographic early cgi futuristic","Rounded or inflated display with practical sans body","Chrome silver icy blue pink lime iridescent gloss","Short glossy transitions; avoid perpetual shimmer","Fashion; beauty; music; youth campaigns","Keep body copy stable and do not make chrome the only contrast cue","Chrome on every control|nostalgia without product fit|unreadable bubble type","https://www.webdesignmuseum.org/exhibitions/y2k-aesthetic-in-web-design|https://www.si.edu/spotlight/objects-of-wonder/y2k","active",2026-08-27
vaporwave,Vaporwave,Nostalgia,2010-2016,"Critique commercial futurism through retro digital artifacts","vaporwave neon grid roman bust windows95 crt glitch palm","Spaced display, terminal, or pixel accent with readable detail face","Magenta cyan purple teal, CRT scanline, checker grid","Glitch is bounded feedback or transition, never the only message","Music; indie art; retro gaming; merch","Provide clean text and reduced-motion path; do not glitch focus or errors","Glitch over every label|random CJK as decoration|checkout in CRT noise","https://lettertype.org/blog/vaporwave-aesthetic-deep-dive|https://www.moma.org/collection/terms/vaporwave","active",2026-08-27
frutiger-aero,Frutiger Aero,Glossy Nature Tech,2004-2012,"Pair optimistic technology with clean nature imagery","frutiger aero aqua glossy nature bubbles sky water green tech","Friendly sans; light display; readable UI face","Aqua blue green white clouds water gloss","Slow ambient drift only behind stable content","Consumer tech; environmental campaigns; playful utilities","Keep text on solid or controlled surfaces and offer static media","Aqua gloss hiding status|nature image behind every card|dated nostalgia as default","https://aesthetics.fandom.com/wiki/Frutiger_Aero|https://www.webdesignmuseum.org/","active",2026-08-27
cyberpunk,Cyberpunk,Speculative Tech,1980s-present,"Frame technology through tension, surveillance, and neon urban systems","cyberpunk neon dystopian hud terminal hacker grid scanline","Condensed sans, mono, or display with readable body face","Black, electric cyan, magenta, acid green, red alert","Data pulses and scan transitions should communicate status, not decorate every control","Games; entertainment; security campaigns; speculative interfaces","Do not encode status only with glow or color and keep flashing below safe limits","HUD clutter|constant scanline|dark low contrast text|fake technical jargon","https://www.moma.org/collection/terms/cyberpunk|https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html","active",2026-08-27
aurora-mesh,Aurora And Mesh Gradient,Atmospheric Digital,2020-present,"Create atmosphere through multi-point color fields","aurora mesh gradient liquid gradient blurred color field atmospheric","Neutral sans or serif with protected contrast zone","Three or more blended hues, soft blur, dark or light base","Background drift can be slow and pausable; content should not move with it","Landing pages; media; wellness; visual tools","Add scrim or solid reading surface and disable motion for reduced-motion","Two-stop diagonal gradient as entire direction|blur behind small type|heavy filter stack","https://developer.mozilla.org/en-US/docs/Web/CSS/gradient|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
grain-texture,Grain And Film Texture,Material Overlay,2021-present,"Add tactile imperfection and reduce digital smoothness","grain noise film texture paper svg feTurbulence dither banding","Any readable type; texture never changes glyph clarity","Low-opacity noise over a stable surface","Static or very slow texture; no noisy animated overlay","Editorial; fashion; premium media; gradients","Keep grain out of text, data, and focus indicators and test at zoom","Grain as a substitute for art direction|noise over table content|high opacity dirt","https://developer.mozilla.org/en-US/docs/Web/SVG/Element/feTurbulence|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
editorial,Editorial Typographic,Content Led,1930s-present,"Make words, images, and reading rhythm the main visual system","editorial magazine typography serif sans pull quote spread long form","High-contrast serif display with legible sans body or deliberate mono metadata","Paper, ink, one accent, rules, image-led contrast","Chapter transitions preserve reading context; no motion for every paragraph","Magazines; essays; portfolios; brand stories","Keep line length, zoom, heading order, captions, and focus states usable","Oversized type with thin content|text over unstable image|print layout that fails mobile","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content/|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
kinetic-typography,Kinetic Typography,Motion Led,1950s-present,"Make movement of type carry emphasis, time, or voice","kinetic typography motion type animated headline mask reveal stagger variable font","Bold or variable display with static readable fallback","High contrast brand palette; text remains legible at rest","Animate only message-bearing phrases and provide reduced-motion final state","Campaigns; portfolios; fashion; entertainment","Do not make motion the only way to read a sentence and preserve focus order","Every letter moves|staggered body copy|motion without pause or purpose","https://www.typotheque.com/articles/electronic-typography-the-new-visual-language|https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html","active",2026-08-27
maximalism,Maximalism,Expressive Contemporary,2018-present,"Create organized abundance and visual energy","maximalism dense layered pattern mixed type color controlled chaos","Contrasting display and utilitarian body; stable labels","Bold clashing colors governed by a motif library","Many layers can move in sequence but must have a quiet resting state","Culture; fashion; entertainment; creator brands","Keep essential tasks sparse and ensure contrast and focus survive visual density","Everything competing|unbounded asset weight|decoration over action","https://tympanus.net/codrops/2022/07/11/the-comeback-of-maximalism-and-what-it-could-mean-for-web-design/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
minimalism,Minimalism,Modern Product,1960s-present,"Reduce interface to essential information and action","minimalism whitespace monochrome less is more restrained premium","Neutral sans or restrained serif; generous leading","Monochrome or limited palette with one functional accent","Quiet transitions; no effect needed to prove quality","Checkout; fintech; luxury; forms; focused SaaS","Do not hide navigation or focus cues in pursuit of empty space","empty space without hierarchy|tiny muted text|minimal but undiscoverable","https://www.nngroup.com/articles/roots-minimalism-web-design/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
data-ink,Data Ink And Information Design,Information Design,1980s-present,"Maximize useful signal and reduce visual noise","data ink information design tufe preattentive dashboard chart clarity","Functional sans or mono numerals; tabular figures","Neutral base with semantic categorical and alert colors","Animation only for change, trend, and focus; no count-up theater","Dashboards; data portals; analytics; scientific work","Provide text and table equivalents and avoid color-only encoding","chart junk|3d chart decoration|red green only status","https://www.nngroup.com/articles/dashboards-preattentive/|https://www.w3.org/WAI/tutorials/tables/","active",2026-08-27
monochrome,Monochrome,Color Restrained,1900s-present,"Use value, texture, and type instead of hue variety","monochrome black white grayscale ink neutral tone photography","One type family or restrained pairing; hierarchy by weight","Black white gray with one optional signal color; material contrast","Subtle opacity and position shifts; clear active state","Editorial; architecture; luxury; documentation","Check non-color state markers, contrast, and focus against grayscale surfaces","Gray-on-gray content|no selected state|monochrome as vague luxury shorthand","https://www.w3.org/WAI/standards-guidelines/wcag/|https://www.nngroup.com/articles/roots-minimalism-web-design/","active",2026-08-27
dark-cinema,Dark Cinema,Immersive Editorial,2000s-present,"Use controlled darkness and light to create narrative focus","dark cinema black indigo spotlight film still gallery immersive","Editorial serif or neutral sans with strong contrast","Near-black, controlled spotlight, warm or cool accent, matte surface","Slow chapter transitions with stable content rail","Film; art; luxury; portfolios; museums","Use opaque text surfaces or measured scrims and provide a light or static fallback where needed","black void plus glow|text disappearing into image|permanent camera motion","https://www.w3.org/WAI/standards-guidelines/wcag/|https://www.w3.org/WAI/WCAG22/Understanding/focus-not-obscured-minimum.html","active",2026-08-27
biophilic,Organic And Biophilic,Material Natural,1900s-present,"Connect digital content to living systems and natural material","organic biophilic botanical natural earth texture sustainable wellness","Humanist sans, soft serif, or botanical display paired with readable body","Leaf green earth clay cream water; paper and natural textures","Gentle ambient movement; no forced nature parallax","Wellness; environment; hospitality; food","Provide stable alternatives to moving backgrounds and keep text contrast over imagery","stock leaf wallpaper|greenwashing claims|nature motion behind forms","https://www.w3.org/WAI/tutorials/images/|https://www.nngroup.com/articles/web-ux-study-guide/","active",2026-08-27
retro-terminal,Retro Terminal,Computing Heritage,1970s-1990s,"Make system state explicit through command and text output","retro terminal crt green phosphor ascii command line dos unix","Monospace with clear character shapes and readable line spacing","Black or dark green with phosphor green or amber, scanline optional","Typed feedback only when it conveys process; no forced typing for essential content","Developer tools; hacker culture; archives; games","Keep semantic controls and accessible labels outside terminal simulation","fake command required for navigation|low contrast green|typing delay on every action","https://www.w3.org/WAI/WCAG22/Understanding/keyboard.html|https://www.w3.org/WAI/standards-guidelines/aria/","active",2026-08-27
deconstructivist,Deconstructivist,Postmodern,1980s-present,"Use fragmentation and tension to challenge conventional order","deconstructivist fragmented typography overlap architecture irregular layers","Contrasting type systems with a stable utility face","Neutral base with unexpected accent and clipped imagery","Fragments move to reveal relation, then settle into readable state","Architecture; culture; experimental portfolios","Keep DOM reading order and provide a simplified mobile composition","random overlap|text clipped permanently|layout meaning dependent on coordinates","https://www.tate.org.uk/art/art-terms/d/deconstructivism|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
liquid-metal,Liquid Metal And Chrome,Tactile Speculative,2000s-present,"Use reflective material to emphasize physical object and light","3d liquid metal chrome mercury reflective foil holographic product render","Display type may be reflective; utility text stays neutral","Silver chrome dark studio highlights and controlled accent","Reflection responds to object motion only, not constant shimmer","Product viewers; fashion; automotive; music","Keep product information on stable surfaces and provide static renders","chrome text for all copy|reflection hides material detail|shader before hierarchy","https://threejs.org/manual/en/load-gltf.html|https://www.w3.org/WAI/tutorials/images/","active",2026-08-27
jelly-inflatable,Jelly And Inflatable,Tactile Playful,2023-present,"Make interfaces and objects feel soft, physical, and playful","jelly inflatable bubble squishy translucent soft toy","Rounded sans with clear utility labels","Bright translucent candy colors with opaque text surfaces","Press, squash, and release feedback with reduced-motion direct state","Games; youth products; playful commerce","Keep hit areas and focus outlines independent from deformation","all elements wobble|translucency behind labels|squish hides state","https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
holographic-prismatic,Holographic And Prismatic,Material Speculative,1990s-present,"Signal iridescent novelty and shifting light","holographic prismatic iridescent rainbow foil diffraction film","Neutral sans with short display accents","Iridescent spectral field, silver, deep navy, protected solid surfaces","Color shift can respond to pointer or selection, never carry state alone","Fashion; music; product campaigns; collectibles","Provide explicit selected text and sufficient contrast on static fallback","rainbow gradient as every surface|state encoded by hue shift|unreadable foil text","https://www.w3.org/WAI/standards-guidelines/wcag/|https://www.w3.org/WAI/tutorials/images/","active",2026-08-27
dreamcore,Dreamcore And Weirdcore,Internet Folk,2010s-present,"Create uncanny nostalgia through liminal images and dissonance","dreamcore weirdcore liminal uncanny nostalgia empty space distorted text","Simple readable type with occasional surreal display treatment","Washed flash colors, empty architecture, muted or uncanny contrast","Slow discontinuity only in optional atmosphere; content stays stable","Art projects; music; experimental culture","Avoid flashing, motion-triggering scale, and inaccessible distorted text","uncanny image as navigation|random warning copy|motion sickness as effect","https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html|https://www.w3.org/WAI/tutorials/images/","active",2026-08-27
liquid-glass,Liquid Glass,Translucent Spatial,2025-present,"Use lens-like translucency and fluid depth for spatial surfaces","liquid glass lens refraction translucent spatial visionos acrylic","Neutral sans with strong contrast and variable weight sparingly","Transparent lens surfaces over controlled backgrounds; opaque fallback","Fluid morphing between surfaces only when state relation is clear","Spatial interfaces; media; premium product pages","Test contrast through motion and use opaque fallback where translucency fails","refraction as hierarchy|glass over glass|important controls only visible through lens","https://developer.apple.com/design/human-interface-guidelines|https://developer.mozilla.org/en-US/docs/Web/CSS/backdrop-filter","active",2026-08-27
experimental-speculative-interface,Experimental Speculative Interface,Unverified,2026,"Hold an unverified emerging visual language for later review","candidate experimental speculative interface","Requires review","Requires review","Requires review","Candidate only","Requires review","Do not expose until independently verified","https://www.w3.org/WAI/standards-guidelines/wcag/","candidate",2026-08-27
