ID,Name,Family,Era,Intent,Keywords,Primary Pages,Primary Structures,Responsive Notes,Accessibility Notes,Anti-Patterns,Sources,Status,Verified At
lms,Learning Management System,Education,1990s-present,"Enroll, learn, practice, and track progress","lms course lesson quiz assignment progress certificate instructor","Catalog|Course|Lesson|Quiz|Progress|Discussion|Certificate","Dashboard Grid|Step Indicator|Single Column|Timeline","Put the current lesson and progress first on mobile; keep media controls reachable","Provide captions and transcripts, keyboard media controls, accessible quizzes, and visible progress text","video-only lesson|progress shown by color only|gamification blocking course content","https://www.w3.org/WAI/media/av/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
course-marketplace,Course Marketplace,Education,2000s-present,"Compare courses, trust instructors, and purchase enrollment","course marketplace instructor syllabus reviews education catalog","Home|Browse|Course Detail|Instructor|Checkout|Library","Faceted Discovery|Cards|Comparison Table","Make category, level, price, rating, and duration filterable without horizontal overflow","Expose course metadata in text, label filters, provide captions, and keep checkout keyboard operable","fake ratings|unclear course ownership|video before price and outcomes","https://www.w3.org/WAI/media/av/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
booking,Booking And Appointment,Service,2000s-present,"Find availability and confirm, change, or cancel a time","booking appointment calendar availability timezone reschedule","Service|Staff|Availability|Booking|Confirmation|Manage","Calendar|Step Indicator|Split Screen|Lists","Offer agenda and list alternatives on small screens; display timezone at each decision","Do not require drag to choose a slot, label calendar controls, announce selected values, and support keyboard input","ambiguous timezone|drag-only calendar|double booking discovered after submit","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html","active",2026-08-27
directory,Directory And Listings,Discovery,1990s-present,"Find, compare, and contact a relevant listing","directory listings search filters category location compare reviews","Home|Category|Search Results|Listing|Map|Submit","Faceted Discovery|Map List Split|Cards|Lists","Provide filter and sort controls as a mobile disclosure and retain result count","Label filters and results, expose stale data, make contact actions named, and provide map alternatives","sponsored result ambiguity|stale listings|map-only discovery","https://www.w3.org/WAI/tutorials/|https://www.nngroup.com/articles/web-ux-study-guide/","active",2026-08-27
job-board,Job Board,Discovery,1990s-present,"Find a suitable role and apply with confidence","jobs careers recruitment hiring salary location application","Home|Search|Job Detail|Company|Saved Jobs|Application","Faceted Discovery|Lists|Sticky Rail|Cards","Put title, location, pay range, and apply action before secondary content on mobile","Expose salary and requirements as text, label application fields, and preserve entered data","expired job posts|hidden salary|application form reset","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/WCAG22/Understanding/redundant-entry.html","active",2026-08-27
classifieds,Classifieds,Discovery,1990s-present,"List or find a second-hand item and contact its owner","classifieds used goods local seller listing message","Browse|Search|Listing|Seller|Messages|Post Listing","Faceted Discovery|Cards|Lists|Map List Split","Keep location, freshness, price, and contact action together on mobile","Provide text alternatives, report controls, and a non-map search path","unverified seller|stale listing|contact hidden behind image","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
real-estate,Real Estate And Property,Discovery,1990s-present,"Compare properties and arrange a viewing or inquiry","real estate property homes rental map mortgage virtual tour","Search|Results|Property|Agent|Mortgage|Viewing","Map List Split|Faceted Discovery|Cards|Split Screen","Use list-first mobile fallback and keep address, price, and availability readable","Give map and tour alternatives, label filters, caption media, and expose property details in text","map-only results|virtual-tour-only detail|hidden fees","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
crowdfunding,Crowdfunding Campaign,Funding,2000s-present,"Understand a project story and decide whether to fund it","crowdfunding campaign backer rewards updates stretch goal creator","Campaign|Story|Rewards|Updates|Comments|Creator|Checkout","Full Bleed Hero|Single Column|Timeline|Cards","Put value, progress, reward, and risk information before decorative media","Make progress and time states textual, label reward selection, and keep checkout accessible","false urgency|progress without values|video-only pitch","https://www.w3.org/WAI/media/av/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
nonprofit,Nonprofit And Charity,Public Interest,1990s-present,"Understand impact and donate, volunteer, or get help","nonprofit charity donation volunteer mission impact transparency","Home|Programs|Impact|Donate|Volunteer|Events|Transparency","Full Bleed Hero|Single Column|Cards|Timeline","Keep donation and help routes prominent on mobile; do not bury impact evidence","Label donation amounts, explain form errors, provide alternatives to video and color-coded impact","emotional pressure without facts|donation friction|impact hidden in PDF","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
government-service,Government Digital Service,Public Sector,1990s-present,"Complete a public task accurately and understand the decision","government benefits eligibility tax permit service form official","Start Page|Eligibility|Form|Review|Result|Help|Accessibility","Step Indicator|Single Column|Sticky Rail|Summary Box","Use one question per page when it lowers cognitive load and stack support below the task","Use plain language, semantic forms, error summary plus inline errors, keyboard access, reflow, and clear privacy","campaign-style government page|unexplained legal jargon|form inside canvas","https://design-system.service.gov.uk/|https://designsystem.digital.gov/","active",2026-08-27
public-sector-portal,Public Sector Information Portal,Public Sector,1990s-present,"Find authoritative services and route into a task","government portal civic information public records services","Home|Services|Topics|Search|Service Detail|Contact","Holy Grail|Tree Navigation|Lists|Search Results","Keep service search and language or accessibility controls easy to reach on mobile","Use clear landmarks, plain link text, language selection, and no icon-only civic navigation","department maze|broken deep links|PDF-only service","https://design-system.service.gov.uk/|https://designsystem.digital.gov/","active",2026-08-27
intranet,Intranet,Enterprise,1990s-present,"Find people, tools, internal news, and work resources","intranet employee portal internal search hr it directory documents","Home|News|People|Applications|Documents|Search|Profile","Dashboard Grid|Holy Grail|Search Results|Lists","Use role-based shortcuts but keep core search and support stable on mobile","Respect keyboard, focus, permissions, headings, document alternatives, and sensitive content boundaries","tile graveyard|role-specific content with no fallback|search without scope","https://www.nngroup.com/reports/intranet-portals-experiences-real-life-projects|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
client-portal,Client Portal,Enterprise,2000s-present,"Share work, review status, and exchange secure documents","client portal project status approvals files invoices collaboration","Overview|Projects|Files|Approvals|Messages|Invoices|Settings","Dashboard Grid|Lists|Timeline|Sticky Rail","Keep status, next action, and support reachable on narrow screens","Expose permission and upload state, label files, preserve keyboard workflows, and provide text status","unclear ownership|silent upload failure|client work hidden in canvas","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
membership,Membership Site,Subscription,2000s-present,"Understand membership value, join, and manage access","membership subscription gated content community account renewal","Home|Benefits|Plans|Content|Community|Account|Billing","Cards|Single Column|Comparison Table|Dashboard Grid","Keep plan, renewal, and access state visible on mobile","Label billing fields, expose access status in text, support account recovery, and provide captions","unclear paywall|forced upsell|cancellation maze","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
wiki,Wiki,Knowledge,1990s-present,"Read, edit, cite, and inspect collaborative knowledge","wiki encyclopedia article edit history talk citations","Home|Article|Category|Search|Edit|History|Discussion","Single Column|Tree Navigation|Sticky Rail|Timeline","Keep article and edit actions available without horizontal layout dependence","Use article headings, edit labels, revision status, keyboard controls, and citation links","unreviewed claims|history inaccessible|category maze","https://www.w3.org/WAI/tutorials/page-structure/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
productivity-app,Productivity Web App,Software,2000s-present,"Create, organize, search, and complete work","productivity tasks notes project management workspace templates","Workspace|Document|Board|Calendar|Templates|Search|Settings","Dashboard Grid|Kanban|Lists|Command Palette","Allow dense desktop work but provide ordered mobile views and persistent primary actions","Use keyboard shortcuts with visible alternatives, announce state changes, and preserve focus during edits","blank canvas without guidance|shortcut-only action|state hidden in color","https://react.dev/learn|https://www.w3.org/WAI/standards-guidelines/aria/","active",2026-08-27
chat-realtime,Chat And Realtime App,Communication,2000s-present,"Communicate quickly, find context, and manage presence","chat messaging realtime channels threads direct messages notifications","Channels|Thread|Direct Message|Search|Files|Settings","Lists|Split Screen|Sticky Rail|Timeline","Keep channel and composer reachable on mobile; use a separate thread route when needed","Announce new messages without stealing focus, label presence, support keyboard composer, and provide notification controls","unbounded notification noise|thread context lost|composer without label","https://www.w3.org/WAI/standards-guidelines/aria/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
collaborative-canvas,Collaborative Canvas App,Software,2000s-present,"Manipulate shared spatial objects and understand co-presence","collaborative canvas whiteboard diagram multiplayer comments layers","File Browser|Canvas|Layers|Assets|Comments|Version History","Spatial Stage|Canvas|Dashboard Grid|Sticky Rail","Provide an ordered list or mobile focus mode when an infinite canvas cannot fit","Every canvas operation needs commands or menus, keyboard support, object labels, and a non-spatial summary","canvas-only content|cursor-only collaboration|unrecoverable object movement","https://www.w3.org/WAI/standards-guidelines/aria/|https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html","active",2026-08-27
form-workflow,Form And Workflow Service,Utility,1990s-present,"Enter accurate information through a bounded sequence","form workflow application multi-step validation save return","Start|Question|Review|Confirmation|Manage","Step Indicator|Single Column|Sticky Rail","Keep one logical question group per mobile view and retain entered values","Use visible labels, fieldset and legend, error summary, inline errors, focus management, and save explanation","placeholder-only labels|errors at top only|lost entries","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/WCAG22/Understanding/error-identification.html","active",2026-08-27
search-experience,Search Experience,Utility,1990s-present,"Find a known item or explore an unknown set","search autocomplete results filters facets no results relevance","Search|Results|Filters|Detail|Saved","Search Results|Faceted Discovery|Lists|Cards","Make query, result count, filter state, and clear action visible on mobile","Label search input and suggestions, announce result changes, and provide useful no-results recovery","empty search with no guidance|filter state hidden|result cards without headings","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/ARIA/apg/","active",2026-08-27
video-streaming,Video Streaming Service,Media,2000s-present,"Discover, watch, resume, and manage a media library","video streaming player watchlist profiles continue watching adaptive media","Home|Browse|Detail|Player|Profiles|Watchlist","Cards|Lists|Full Bleed Hero|Carousel","Keep title, play, progress, captions, and controls usable on mobile","Provide captions, transcripts when required, keyboard player controls, pause and hide movement, and audio alternatives","autoplay without control|carousel-only browse|content locked behind hover","https://www.w3.org/WAI/media/av/|https://www.w3.org/WAI/tutorials/carousels/","active",2026-08-27
audio-podcast,Audio And Podcast,Media,2000s-present,"Find, listen, subscribe, and return to episodes","podcast audio episodes show notes transcript rss subscribe","Home|Show|Episode|Player|Transcript|Subscribe","Single Column|Lists|Sticky Rail|Timeline","Keep player controls and transcript route visible on narrow screens","Provide transcripts and labelled controls, expose progress text, and do not require audio for core information","audio-only instruction|autoplay without pause|hidden transcript","https://www.w3.org/WAI/media/av/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
event,Event Website,Events,1990s-present,"Understand an event and decide to attend","event conference festival agenda speakers venue tickets register","Home|Agenda|Speakers|Venue|Tickets|FAQ|Confirmation","Full Bleed Hero|Timeline|Cards|Step Indicator","Put date, location, cost, and registration before decorative schedule detail on mobile","Use headings, accessible ticket forms, map alternatives, clear time zones, and mobile ticket text","date hidden in hero art|agenda carousel without controls|ticket choices unclear","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/tutorials/carousels/","active",2026-08-27
ticketing,Ticketing Service,Commerce,2000s-present,"Select an event seat or ticket and complete purchase","ticketing tickets seating queue transfer resale purchase","Event|Seat Map|Ticket Options|Checkout|Confirmation|Manage","Comparison Table|Map List Split|Step Indicator|Lists","Provide a list alternative to complex seat maps and keep queue state visible","Label seat map regions, provide text seat selection, announce queue updates, and keep checkout keyboard operable","seat-map-only purchase|hidden fees|queue without status","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
game-microsite,Game And Promo Microsite,Entertainment,1990s-present,"Play, understand the brand, and share or redeem a result","game microsite advergame promotional interactive webgl leaderboard","Intro|Game|Result|Leaderboard|Terms|Share","Spatial Stage|Full Bleed Hero|Step Indicator|Cards","Offer a low-cost touch mode and preserve instructions outside the game canvas","Provide keyboard or simple pointer alternatives, pause controls, text instructions, and a non-WebGL result path","forced full-screen game|play blocked by hover|unpausable animation","https://www.w3.org/WAI/WCAG22/Understanding/keyboard.html|https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html","active",2026-08-27
travel-hospitality,Travel And Hospitality,Commerce,1990s-present,"Research a destination and book a stay or activity","travel hotel hospitality destination booking itinerary map reviews","Home|Destination|Property|Room|Availability|Booking|Itinerary","Full Bleed Hero|Cards|Map List Split|Step Indicator","Keep dates, price, location, and availability clear on mobile; avoid image-first ambiguity","Give images useful alternatives, label date controls and maps, expose cancellation terms, and show loading state","hidden taxes|map-only discovery|gallery before price","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
restaurant-ordering,Restaurant Ordering,Commerce,2000s-present,"Browse a menu, customize an order, and pay or reserve","restaurant menu food ordering delivery reservation dietary","Home|Menu|Item|Cart|Checkout|Tracking|Reservation","Lists|Cards|Step Indicator|Sticky Rail","Put menu categories, dietary labels, cart, and order status first on mobile","Use text labels for allergens, keyboard quantity controls, and clear order errors and status","menu image without text|hidden allergen data|cart reset","https://www.w3.org/WAI/tutorials/forms/|https://www.w3.org/WAI/tutorials/images/","active",2026-08-27
healthcare-patient,Healthcare Patient Portal,Healthcare,2000s-present,"View care information, communicate, and manage appointments","healthcare patient portal medical records appointment prescription secure","Home|Appointments|Records|Messages|Prescriptions|Billing|Help","Dashboard Grid|Lists|Step Indicator|Sticky Rail","Keep urgent contact and next appointment prominent on mobile","Protect privacy, use clear labels, provide accessible forms and tables, and never rely on color for urgency","medical data in decorative chart|ambiguous urgency|dense desktop-only form","https://www.w3.org/WAI/standards-guidelines/wcag/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
fintech-banking,Fintech And Banking,Finance,2000s-present,"Check money, understand risk, and perform a safe transaction","fintech banking payments balance transfer savings financial dashboard","Overview|Accounts|Transfer|Bills|Cards|Statements|Support","Dashboard Grid|Lists|Step Indicator|Table","Keep available balance, next action, and support visible on mobile","Use exact text values, confirmation and recovery for transactions, keyboard forms, and non-color status","continuous number animation|canvas-only balance|hidden fees","https://www.w3.org/WAI/tutorials/forms/|https://www.nngroup.com/articles/dashboards-preattentive","active",2026-08-27
academic-repository,Academic Repository And Journal,Knowledge,1990s-present,"Find, read, cite, and submit scholarly work","academic journal repository paper preprint citation author search","Home|Browse|Search|Paper|Author|Submission|Review","Single Column|Sticky Rail|Faceted Discovery|Editorial Spread","Keep abstract, authors, date, and download or read action visible on mobile","Use article semantics, accessible PDF alternatives where possible, citation labels, and table alternatives","PDF-only content|unclear version|paywall without state","https://www.w3.org/WAI/tutorials/page-structure/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
data-portal,Open Data Portal,Public Interest,2000s-present,"Discover, filter, inspect, and download public datasets","data portal open data datasets api metadata filters download","Home|Catalog|Dataset|Preview|API|Organizations|About","Faceted Discovery|Table|Dashboard Grid|Sticky Rail","Provide a list and table-first mobile path; keep dataset status and license visible","Use table headers, download labels, API descriptions, keyboard filters, and text chart alternatives","chart-only dataset|unclear freshness|download without format","https://www.w3.org/WAI/tutorials/tables/|https://designsystem.digital.gov/","active",2026-08-27
memorial,Memorial And Obituary,Life Events,1990s-present,"Remember a person, contribute safely, and find service information","memorial obituary tribute funeral remembrance family","Home|Memorial|Service Details|Gallery|Guestbook|Donate|Contact","Single Column|Timeline|Editorial Spread","Put service details and contribution actions before decorative gallery layers on mobile","Give images alternatives, label contribution controls, moderate guestbook content, and preserve text memorial","autoplay memorial music|gallery-only tribute|unclear moderation","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
genealogy,Genealogy And Family Archive,Knowledge,1990s-present,"Explore relationships, records, and family history","genealogy family tree ancestry records archive timeline","Home|Tree|Person|Records|Sources|Search|Stories","Tree Navigation|Timeline|Spatial Stage|Single Column","Offer a list and person profile path when the tree cannot fit on mobile","Provide text relationship summaries, keyboard tree navigation, source citations, and no color-only lineage","tree-only facts|unclear source quality|drag-only tree","https://www.w3.org/WAI/standards-guidelines/aria/|https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html","active",2026-08-27
faith-community,Faith And Community Organization,Community,1990s-present,"Find services, community events, and ways to participate","faith church mosque temple synagogue gurdwara community events donation","Home|Services|Events|Teachings|Community|Donate|Contact","Single Column|Cards|Timeline|Full Bleed Hero","Keep service times, address, language, and contact action in the mobile first view","Use text event details, accessible donation forms, captions, and language support","event data in poster image|donation pressure|inaccessible livestream","https://www.w3.org/WAI/media/av/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
fan-archive,Fan Archive And Fandom,Community,1990s-present,"Discover, organize, and contribute to cultural fan knowledge","fandom fan archive fan wiki cosplay convention fan fiction collections","Home|Archive|Entry|Collections|Members|Events|Rules","Masonry|Cards|Faceted Discovery|Timeline","Use a linear archive list on mobile and keep creator and source data visible","Label contribution and moderation controls, provide text alternatives, and expose collection order","copyright unclear|unmoderated submission|image-only archive","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/standards-guidelines/aria/","active",2026-08-27
asset-marketplace,Digital Asset Marketplace,Commerce,2000s-present,"Find, inspect, license, and download digital assets","3d asset marketplace model texture font stock asset license creator","Home|Browse|Asset|Creator|Collections|Cart|Downloads","Faceted Discovery|Spatial Stage|Cards|Sticky Rail","Put format, license, price, preview, and download action before community content on mobile","Provide static preview and metadata alternatives, label license, and make preview controls keyboard operable","preview-only listing|license hidden|drag-only inspection","https://www.w3.org/WAI/tutorials/images/|https://www.w3.org/WAI/WCAG22/Understanding/dragging-movements.html","active",2026-08-27
